"Código","Nome Município","Hep C Novo 1999-2007","Hep C Novo 2008","Hep C Novo 2009","Hep C Novo 2010","Hep C Novo 2011","Hep C Novo 2012","Hep C Novo 2013","Hep C Novo 2014","Hep C Novo 2015","Hep C Novo 2016","Hep C Novo 2017","Hep C Novo 2018","Hep C Novo 2019","Hep C Novo 2020","Tx Det Hep C Novo 2008","Tx Det Hep C Novo 2009","Tx Det Hep C Novo 2010","Tx Det Hep C Novo 2011","Tx Det Hep C Novo 2012","Tx Det Hep C Novo 2013","Tx Det Hep C Novo 2014","Tx Det Hep C Novo 2015","Tx Det Hep C Novo 2016","Tx Det Hep C Novo 2017","Tx Det Hep C Novo 2018","Tx Det Hep C Novo 2019","Tx Det Hep C Novo 2020","Hep C M Total","Hep C M 1999-2007","Hep C M 2008","Hep C M 2009","Hep C M 2010","Hep C M 2011","Hep C M 2012","Hep C M 2013","Hep C M 2014","Hep C M 2015","Hep C M 2016","Hep C M 2017","Hep C M 2018","Hep C M 2019","Hep C M 2020","Tx Det M Hep C M 2008","Tx Det M Hep C M 2009","Tx Det M Hep C M 2010","Tx Det M Hep C M 2011","Tx Det M Hep C M 2012","Tx Det M Hep C M 2013","Tx Det M Hep C M 2014","Tx Det M Hep C M 2015","Tx Det M Hep C M 2016","Tx Det M Hep C M 2017","Tx Det M Hep C M 2018","Tx Det M Hep C M 2019","Tx Det M Hep C M 2020","Hep C F Total","Hep C F 1999-2007","Hep C F 2008","Hep C F 2009","Hep C F 2010","Hep C F 2011","Hep C F 2012","Hep C F 2013","Hep C F 2014","Hep C F 2015","Hep C F 2016","Hep C F 2017","Hep C F 2018","Hep C F 2019","Hep C F 2020","Tx Det F Hep C F 2008","Tx Det F Hep C F 2009","Tx Det F Hep C F 2010","Tx Det F Hep C F 2011","Tx Det F Hep C F 2012","Tx Det F Hep C F 2013","Tx Det F Hep C F 2014","Tx Det F Hep C F 2015","Tx Det F Hep C F 2016","Tx Det F Hep C F 2017","Tx Det F Hep C F 2018","Tx Det F Hep C F 2019","Tx Det F Hep C F 2020","Óbitos C Total","Óbitos C 2000-2007","Óbitos C 2008","Óbitos C 2009","Óbitos C 2010","Óbitos C 2011","Óbitos C 2012","Óbitos C 2013","Óbitos C 2014","Óbitos C 2015","Óbitos C 2016","Óbitos C 2017","Óbitos C 2018","Óbitos C 2019"
352030,"Iguape",14,1,5,0,2,0,5,2,2,2,3,0,2,1,3.28979833536204,16.2993871430434,0,6.90846286701209,0,16.6644447407012,6.6334991708126,6.60087791676293,6.56943896991197,9.80969197567196,0,6.48151148847911,3.22695149891897,17,3,1,4,0,1,0,2,0,1,1,2,0,1,1,6.4283877603497,25.4744618519934,0,6.88752668916592,0,13.3058346084758,0,6.59761166457742,6.56771312229082,13.0855796911803,0,6.48382286195941,6.45911380958533,13,6,0,1,0,0,0,1,1,1,1,1,0,1,0,0,6.67824228663016,0,0,0,6.67868830561678,6.63790242283438,6.60414740457007,6.57116572479958,6.53680219636554,0,6.47920176234288,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0
352040,"Ilhabela",51,6,4,4,2,12,3,6,21,13,21,10,19,6,23.4833659491194,15.3787004998078,14.1864094197759,6.95386113139321,40.9444520267504,9.68835782334894,18.957345971564,64.9109792284866,39.3593508734748,62.349692705086,29.1264963737512,54.3322848155562,16.8581944873704,68,11,1,2,1,0,1,0,0,14,10,12,3,11,2,7.53352418261263,14.8071370400533,6.97885407216135,0,6.71231037723184,0,0,85.8106037388906,60.1359071501594,70.8549834671705,17.4054304943142,62.7674750356634,11.2239744093383,47,8,0,0,0,0,1,0,0,7,3,9,7,8,4,0,0,0,0,6.93962526023595,0,0,43.6490615451768,18.2926829268293,53.747387279785,40.9428554717202,45.8584121524792,22.5073148773351,6,2,0,1,1,0,0,0,0,2,0,0,0,0
352042,"Ilha Comprida",17,1,2,3,2,4,3,6,4,2,3,4,3,1,10.2228583111838,19.8275007435313,33.2409972299169,21.7296827466319,42.6621160409556,30.296909715209,59.2943966795138,38.6847195357834,18.9501610763692,27.8836323078353,36.4797081623347,26.8672756582483,8.80126738250308,28,9,1,2,1,0,1,1,1,3,1,2,3,3,0,20.631318341242,40.1284109149278,22.3463687150838,0,21.5146299483649,20.5044084478163,20.116676725005,59.206631142688,19.3986420950533,38.1752242794426,56.3274502440856,55.4323725055432,0,18,6,0,0,1,0,2,1,3,1,1,1,1,0,1,0,0,21.978021978022,0,42.3011844331641,19.9004975124378,58.2750582750583,18.964536317087,18.5219485089831,18.1159420289855,17.7336407164391,0,17.061934823409,5,0,0,1,0,0,1,0,0,1,0,1,0,1
352044,"Ilha Solteira",25,2,4,2,5,2,3,4,3,5,6,7,1,1,7.98180149259688,15.8976193315051,7.97957229492499,19.8838781515947,7.92832791564259,11.5247205255273,15.3004628390009,11.4250894965344,18.9616595244416,22.6628895184136,26.3336092092393,3.74728321966574,3.73301478273854,42,12,1,4,1,3,2,2,3,1,4,5,4,0,0,8.14995925020375,32.528258924941,8.19739322895319,24.5098039215686,16.2919517758227,15.7952930026852,23.60346184107,7.83085356303837,31.201248049922,38.8500388500388,30.9597523219814,0,0,21,11,1,0,0,0,0,0,0,2,1,1,3,1,1,7.82044263705326,0,0,0,0,0,0,14.8279952550415,7.38061849582995,7.35023888276369,21.9587176108915,7.29128691213999,7.26480203414457,3,1,0,0,0,0,0,0,0,0,0,0,2,0
352050,"Indaiatuba",181,34,40,48,63,59,44,35,41,12,16,20,14,3,18.8340608450954,21.762667232496,23.8072800678507,30.6110549638498,28.1141147151182,19.8241061130334,15.4164647843897,17.6552151783177,5.05812630141375,6.60954914612887,8.10018306413725,5.56379084915371,1.17085507546161,217,53,12,17,16,18,10,19,13,26,6,6,12,8,1,13.4034782025936,18.6657297202337,15.9715706043243,17.6016741147825,9.59021031331217,17.1993953054703,11.5005573347016,22.4789044127818,5.07562683991473,4.97223833595757,9.74603458217938,6.37297857085956,0.782007569833276,175,42,12,8,15,17,12,13,9,15,6,10,8,6,2,13.1875377768009,8.62766244270693,14.7869204759417,16.4179825196774,11.3651431060936,11.6609707309635,7.89529089760685,12.8686879085808,5.0407460304125,8.23696089090969,6.46302744363028,4.75824167109448,1.55827561220753,32,11,0,0,0,2,3,2,3,5,3,1,2,0
352060,"Indiana",0,0,1,0,0,3,1,1,0,3,0,1,1,0,0,21.0659363808721,0,0,62.3830318153462,20.3045685279188,20.3334688897926,0,61.1620795107034,0,20.4415372035977,20.4708290685773,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,41.8060200668896,0,0,41.3736036408771,0,0,0,40.4367165386171,0,40.6173842404549,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,82.2368421052632,0,0,41.3052457662123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352070,"Indiaporã",4,0,1,0,1,1,1,0,0,1,1,0,0,0,0,25.3164556962025,0,25.693730729702,25.7731958762887,25.2143217347453,0,0,25.4452926208651,25.516713447308,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52.1376433785193,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,49.480455220188,0,0,49.800796812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352080,"Inúbia Paulista",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352090,"Ipaussu",2,0,1,0,0,1,0,0,0,2,0,1,0,0,0,7.35077918259335,0,0,7.23013520352831,0,0,0,13.6407038603192,0,6.72540184276011,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26.7201068804275,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,14.4801621778164,0,0,14.5815106445028,0,0,0,0,0,13.7873983179374,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
352100,"Iperó",18,1,1,1,6,7,25,11,8,6,5,7,4,1,3.74587953251423,3.63332485557534,3.53356890459364,20.645516482004,23.4915094972817,78.6905886056028,33.6514929025942,23.7904065185714,17.3746850838329,14.1215013980286,19.2943770672547,10.7720895160639,2.63407438626067,34,1,0,1,0,3,1,2,3,5,6,4,3,4,1,0,6.52741514360313,0,19.208605455244,6.24414611301904,11.7109731818714,17.0629052439995,27.6441643169127,32.2962643987512,20.9918656520598,15.3649167733675,20.0080032012805,4.89188924762743,13,1,0,0,0,0,0,1,3,3,0,1,4,0,0,0,0,0,0,0,6.80642526545059,19.8596584138753,19.3050193050193,0,6.11545988258317,23.8734706057893,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
