"Código","Nome Município","Hepatite D Total","Hepatite D 1999-2007","Hepatite D 2008","Hepatite D 2009","Hepatite D 2010","Hepatite D 2011","Hepatite D 2012","Hepatite D 2013","Hepatite D 2014","Hepatite D 2015","Hepatite D 2016","Hepatite D 2017","Hepatite D 2018","Hepatite D 2019","Hepatite D 2020","Hep D M Total","Hep D M 1999-2007","Hep D M 2008","Hep D M 2009","Hep D M 2010","Hep D M 2011","Hep D M 2012","Hep D M 2013","Hep D M 2014","Hep D M 2015","Hep D M 2016","Hep D M 2017","Hep D M 2018","Hep D M 2019","Hep D M 2020","Hep D F Total","Hep D F 1999-2007","Hep D F 2008","Hep D F 2009","Hep D F 2010","Hep D F 2011","Hep D F 2012","Hep D F 2013","Hep D F 2014","Hep D F 2015","Hep D F 2016","Hep D F 2017","Hep D F 2018","Hep D F 2019","Hep D F 2020","Óbitos D Total","Óbitos D 2000-2007","Óbitos D 2008","Óbitos D 2009","Óbitos D 2010","Óbitos D 2011","Óbitos D 2012","Óbitos D 2013","Óbitos D 2014","Óbitos D 2015","Óbitos D 2016","Óbitos D 2017","Óbitos D 2018","Óbitos D 2019"
110020,"Porto Velho",133,51,8,10,9,10,7,6,9,8,4,6,5,0,0,81,35,5,8,3,6,4,5,4,4,1,2,4,0,0,52,16,3,2,6,4,3,1,5,4,3,4,1,0,0,15,10,1,0,1,0,0,1,0,0,2,0,0,0
110025,"Presidente Médici",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110026,"Rio Crespo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110028,"Rolim de Moura",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110029,"Santa Luzia D'Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110030,"Vilhena",10,2,0,0,2,0,2,1,0,0,0,2,1,0,0,5,1,0,0,1,0,0,1,0,0,0,1,1,0,0,5,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110032,"São Miguel do Guaporé",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110033,"Nova Mamoré",4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110034,"Alvorada D'Oeste",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110037,"Alto Alegre dos Parecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110040,"Alto Paraíso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110045,"Buritis",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110050,"Novo Horizonte do Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110060,"Cacaulândia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110070,"Campo Novo de Rondônia",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110080,"Candeias do Jamari",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110090,"Castanheiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110092,"Chupinguaia",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
