"Código","Nome Município","Hepatite B 1999-2007","Hepatite B 2008","Hepatite B 2009","Hepatite B 2010","Hepatite B 2011","Hepatite B 2012","Hepatite B 2013","Hepatite B 2014","Hepatite B 2015","Hepatite B 2016","Hepatite B 2017","Hepatite B 2018","Hepatite B 2019","Hepatite B 2020","Tx Det Hep B 2008","Tx Det Hep B 2009","Tx Det Hep B 2010","Tx Det Hep B 2011","Tx Det Hep B 2012","Tx Det Hep B 2013","Tx Det Hep B 2014","Tx Det Hep B 2015","Tx Det Hep B 2016","Tx Det Hep B 2017","Tx Det Hep B 2018","Tx Det Hep B 2019","Tx Det Hep B 2020","Hep B M Total","Hep B M 1999-2007","Hep B M 2008","Hep B M 2009","Hep B M 2010","Hep B M 2011","Hep B M 2012","Hep B M 2013","Hep B M 2014","Hep B M 2015","Hep B M 2016","Hep B M 2017","Hep B M 2018","Hep B M 2019","Hep B M 2020","Tx Det M Hep B M 2008","Tx Det M Hep B M 2009","Tx Det M Hep B M 2010","Tx Det M Hep B M 2011","Tx Det M Hep B M 2012","Tx Det M Hep B M 2013","Tx Det M Hep B M 2014","Tx Det M Hep B M 2015","Tx Det M Hep B M 2016","Tx Det M Hep B M 2017","Tx Det M Hep B M 2018","Tx Det M Hep B M 2019","Tx Det M Hep B M 2020","Hep B F Total","Hep B F 1999-2007","Hep B F 2008","Hep B F 2009","Hep B F 2010","Hep B F 2011","Hep B F 2012","Hep B F 2013","Hep B F 2014","Hep B F 2015","Hep B F 2016","Hep B F 2017","Hep B F 2018","Hep B F 2019","Hep B F 2020","Tx Det F Hep B F 2008","Tx Det F Hep B F 2009","Tx Det F Hep B F 2010","Tx Det F Hep B F 2011","Tx Det F Hep B F 2012","Tx Det F Hep B F 2013","Tx Det F Hep B F 2014","Tx Det F Hep B F 2015","Tx Det F Hep B F 2016","Tx Det F Hep B F 2017","Tx Det F Hep B F 2018","Tx Det F Hep B F 2019","Tx Det F Hep B F 2020","Óbitos B Total","Óbitos B 2000-2007","Óbitos B 2008","Óbitos B 2009","Óbitos B 2010","Óbitos B 2011","Óbitos B 2012","Óbitos B 2013","Óbitos B 2014","Óbitos B 2015","Óbitos B 2016","Óbitos B 2017","Óbitos B 2018","Óbitos B 2019"
211027,"Santo Amaro do Maranhão",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.62822297342083,0,6.46872372080988,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.4984376952881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.7835975189524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211030,"Santo Antônio dos Lopes",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211040,"São Benedito do Rio Preto",0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,5.43744222717634,5.42093565349379,5.40540540540541,0,0,5.35819535980282,5.34273654966074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5797714769361,4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,11.0204981265153,10.9817702613661,10.9481059776659,0,0,10.8307159103217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211050,"São Bento",1,0,0,2,2,2,2,2,2,0,0,1,3,0,0,0,4.90966221523959,4.82846865116728,4.75251289119122,4.66984215933501,4.62770142070434,4.47617555560529,0,0,2.23159492088996,6.63555329455221,0,7,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,10.0280786201364,0,4.8534265191225,0,4.75714761429047,9.18948722661276,0,0,0,0,0,10,0,0,0,0,2,1,2,1,0,0,0,1,3,0,0,0,0,9.46073793755913,4.65571022859537,9.10415149308085,4.50511330359959,0,0,0,4.32021428262842,12.8303823453939,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0
211060,"São Bernardo",9,0,1,0,0,0,2,2,1,0,0,0,0,0,0,3.75742090628992,0,0,0,7.26374664051718,7.22204167118044,3.58937544867193,0,0,0,0,0,8,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7.24532676423707,0,0,0,7.26163677292862,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,7.26585773450556,14.4112984579911,7.14234697521606,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211065,"São Domingos do Azeitão",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28.4212022168538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.7932184546971,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0782204129107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211070,"São Domingos do Maranhão",0,1,0,0,0,3,0,0,0,1,0,0,0,0,2.98587680272312,0,0,0,8.90419090585302,0,0,0,2.91103865859339,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.91086416834141,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,17.9179358537896,0,0,0,5.83294447036864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211080,"São Félix de Balsas",1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,21.5842866393266,0,43.6205016357688,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,41.51100041511,0,42.0698359276399,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.2898550724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211085,"São Francisco do Brejão",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9.14996797511209,9.03260771384699,0,0,0,0,8.47601288353958,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17.9436569172797,17.7430801987225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.1086398631309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211090,"São Francisco do Maranhão",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211100,"São João Batista",0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,5.00075011251688,0,4.89069301119969,0,0,0,4.85649069982031,0,9.678199854827,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.82704402515723,0,9.67117988394584,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9.75990630489947,0,19.3704600484262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211102,"São João do Carú",0,1,0,0,0,0,0,0,5,1,0,0,0,1,7.92832791564259,0,0,0,0,0,0,31.4702920443102,6.30159430335875,0,0,0,6.33432571102806,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,24.3932186852055,12.2174709835064,0,0,0,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,1,16.5920026547204,0,0,0,0,0,0,39.0167772142021,0,0,0,0,13.080444735121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211105,"São João do Paraíso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211107,"São João do Soter",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5484658491927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.8849461195167,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211110,"São João dos Patos",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.10542737498974,0,4.01171420548,0,0,0,0,3.88742030788369,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.40830740771883,0,8.19000819000819,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.57059580588992,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0
211120,"São José de Ribamar",31,12,3,14,16,16,18,7,7,8,12,18,12,5,8.83515803888942,2.15092310449901,8.58658652519243,9.67246611614214,9.54005032376546,10.5440742302826,4.06851377191912,4.03562883745064,4.57702561990091,6.85984759705255,10.2086535353134,6.75344847962991,2.79285921755256,73,21,3,2,5,5,6,6,2,3,3,2,9,4,2,4.55477112275108,2.9601124842744,6.35461281344128,6.26362338085336,7.41308161802861,7.32037626734014,2.42615393946746,3.61476269082935,3.59470858895706,2.40312406127966,10.7493490671954,4.74811262523147,2.35896347145064,106,10,9,1,9,11,10,12,5,4,5,10,9,8,3,12.8652295728744,1.39062717285496,10.6683103767099,12.8516683802225,11.5239236655296,13.5212791130041,5.57923631413332,4.42174614755367,5.47465235957517,10.9044119250649,9.71974728657055,8.56136896289717,3.18319274232055,5,0,0,0,0,0,0,0,2,1,0,1,0,1
211125,"São José dos Basílios",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
211130,"São Luís",290,105,124,100,120,72,88,67,54,67,44,80,60,23,10.6401736476339,12.4361518935546,9.85379918154344,11.6796278091938,6.92567405084599,8.31464899425817,6.2886824365547,5.03371657938451,6.20513433189689,4.0466914618489,7.30815855415391,5.44521927898037,2.0739872404698,644,174,51,57,48,59,39,42,38,22,25,18,36,25,10,11.1293205222488,12.3205682159601,10.1053695302056,12.2689435607801,8.01499420454265,8.49636578068452,7.64256910994238,4.39752858893302,4.96963552693046,3.55553448572157,7.06891405771376,4.88046758783866,1.94114073076184,650,116,54,67,52,61,33,46,29,32,42,26,44,35,13,10.2161085329101,12.5362053093636,9.63244801256664,11.1611022777797,5.96721287760704,8.15539213252867,5.10391752069287,5.58966610478877,7.28286653626868,4.47461944222148,7.51629241794002,5.93584538309946,2.18923770743027,55,14,3,7,2,4,2,4,3,4,5,3,2,2
211140,"São Luís Gonzaga do Maranhão",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.26648409521803,5.30335171828596,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.6997646051787,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4613453290093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211150,"São Mateus do Maranhão",0,1,0,0,0,1,0,1,0,1,4,1,3,0,2.55036980362153,0,0,0,2.51679963758085,0,2.46081157565765,0,2.43944088015027,9.71652051400394,2.41837968561064,7.22386765874449,0,5,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,5.11613629387087,0,0,0,0,9.97605746209098,0,9.91325898389095,0,7,0,1,0,0,0,0,0,1,0,1,2,1,1,0,5.06329113924051,0,0,0,0,0,4.81510015408321,0,4.76235831983998,9.47014536673138,4.70854129390715,4.68296337922637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211153,"São Pedro da Água Branca",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.88022064617809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.8102766798419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211157,"São Pedro dos Crentes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211160,"São Raimundo das Mangabeiras",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.7301893878427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5529759392149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.9134562916076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211163,"São Raimundo do Doca Bezerra",0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.7864923747277,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.4367165386171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211167,"São Roberto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211170,"São Vicente Ferrer",0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,4.70920649870497,0,4.6029919447641,0,0,9.53697963854847,4.51630385692349,4.49498808828157,0,5,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,9.11743253099927,0,0,19.040365575019,8.98230485942693,8.94934669769107,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5565749235474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211172,"Satubinha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211174,"Senador Alexandre Costa",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.6236056517582,0,0,0,0,0,0,0,0,0,8.975854950184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21.2044105173876,0,0,0,0,0,0,0,0,0,17.7462289263532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211176,"Senador La Rocque",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.87285223367698,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.646288209607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211178,"Serrano do Maranhão",0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,9.97804829375374,9.93147283742179,0,0,0,19.5064859065639,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18.7828700225394,0,0,0,18.5977310768086,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21.2269157291446,0,0,0,0,20.5086136177194,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
211180,"Sítio Novo",0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,5.88166098106105,0,0,5.68052715291979,0,0,0,11.161337128188,0,0,5.50660792951542,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11.1831804965332,0,0,0,0,0,0,10.690613641223,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11.9417243850012,0,0,0,11.6754232340922,0,0,11.4757860913473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211190,"Sucupira do Norte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
211195,"Sucupira do Riachão",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17.8126113288208,17.7683013503909,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35.1864883884588,35.1864883884588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211200,"Tasso Fragoso",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14.5032632342277,0,0,12.4875124875125,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28.184892897407,0,0,24.5037980887037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211210,"Timbiras",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211220,"Timon",4,0,2,1,2,2,1,0,2,2,0,0,5,4,0,1.32769505499977,0.643252283545607,1.27034134071825,1.25414652193816,0.615972158058456,0,1.21498563279489,1.20692776537324,0,0,2.95670788317456,2.34987251941582,15,3,0,0,0,0,1,1,0,2,1,0,0,4,3,0,0,0,0,1.29018939980389,1.27005092904225,0,2.51092251293125,1.24853297375584,0,0,4.90574831058293,3.65817968978636,10,1,0,2,1,2,1,0,0,0,1,0,0,1,1,0,2.57013249032988,1.25158011990138,2.47163795447243,1.22006271122336,0,0,0,1.16800598019062,0,0,1.14194358798675,1.13360691046773,4,3,0,0,0,0,0,0,0,0,1,0,0,0
211223,"Trizidela do Vale",11,1,0,0,0,0,0,0,0,0,1,1,0,0,5.30025971272592,0,0,0,0,0,0,0,0,4.59411035053062,4.56933973040896,0,0,10,7,1,0,0,0,0,0,0,0,0,1,1,0,0,11.1769308147983,0,0,0,0,0,0,0,0,9.47508053818457,9.42684766214178,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
211227,"Tufilândia",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,17.7809388335704,0,0,0,0,0,17.2057811424639,17.164435290079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,36.2187613183629,0,0,0,0,0,34.7584289190129,34.6140533056421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211230,"Tuntum",1,1,0,0,1,0,0,3,0,0,0,1,0,0,2.56140979995389,0,0,2.52780586450961,0,0,7.35582581404472,0,0,0,2.40263328608155,0,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4.95392846527296,0,0,4.95466481692514,0,0,4.82975126780971,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9.96065541112605,0,0,0,4.86097608399767,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
211240,"Turiaçu",1,1,0,0,0,0,0,0,0,0,1,0,1,0,2.98900047824008,0,0,0,0,0,0,0,0,2.82573681087344,0,2.80867318278845,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5.73000229200092,0,0,0,0,0,0,0,0,5.46687076317516,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.80787547914973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211245,"Turilândia",2,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,12.6614332742466,0,4.10559592724884,0,4.02236434576244,0,7.88488074117879,3.90335298021,0,5,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,16.7954316425932,0,0,0,0,0,7.93335977786593,0,0,5,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,8.48464279653827,0,8.20142704830641,0,8.01282051282051,0,7.83699059561129,7.74893452150329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211250,"Tutóia",1,0,4,0,3,0,2,1,1,1,0,0,1,0,0,8.25985503954406,0,5.5840964931874,0,3.59757523429209,1.7816737042778,1.76407289149188,1.7477017721696,0,0,1.69894665307509,0,7,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,4.04825520200793,0,7.36539736318774,0,3.57768952810275,0,3.51914414414414,0,0,0,3.4082001295116,0,7,0,0,3,0,1,0,1,1,0,1,0,0,0,0,0,12.6448893572181,0,3.76364320662401,0,3.61768323565589,3.57768952810275,0,3.49944008958567,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211260,"Urbano Santos",2,0,1,3,2,4,1,5,1,5,2,4,8,5,0,4.35995814440181,12.2085215480405,7.96558865700175,15.7753588894147,3.20574469449253,15.8564044017379,3.13627097381214,15.5816634983951,6.16808018504241,12.2044241037376,24.1531308495864,14.9436623927792,12,2,0,0,2,1,0,1,2,0,1,1,0,2,0,0,0,16.1655350792111,7.91139240506329,0,6.32551078499589,12.5007812988312,0,6.14212886186352,6.07718018839259,0,11.8948495301534,0,31,0,0,1,1,1,4,0,3,1,4,1,4,6,5,0,8.72905027932961,8.19604950413901,8.02053256336221,31.7687236915257,0,19.3124758594052,6.36699350566662,25.3036437246964,6.26174076393237,24.7846830658653,36.7917586460633,30.3526983548838,2,0,0,0,0,0,1,0,0,0,1,0,0,0
211270,"Vargem Grande",1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.19154065307911,0,0,0,0,1.88054761546562,3.71339980318981,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.37445319335083,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3.73329351153588,7.36593989393047,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
211280,"Viana",9,1,2,1,4,1,0,1,1,1,2,3,3,1,2.04469707812787,4.05260278413811,2.02036528204299,8.01876390754365,1.98977256899536,0,1.94601747523693,1.93787182915722,1.9302038295244,3.84511862190949,5.74393536158073,5.72071470795751,1.89937130809702,11,8,1,1,0,0,0,0,0,0,0,0,0,1,0,4.06404941884093,4.02754843126989,0,0,0,0,0,0,0,0,0,3.86907064923006,0,19,1,0,1,1,4,1,0,1,1,1,2,3,2,1,0,4.07797080172906,4.03486120077469,16.0147335548705,3.97361519510451,0,3.8620476576681,3.84054074813734,3.82029339853301,7.60080568540265,11.3391540991042,7.52021056589584,3.74083495436181,3,0,0,1,0,0,1,0,0,0,0,0,0,1
211285,"Vila Nova dos Martírios",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211290,"Vitória do Mearim",0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,3.18410494809909,3.16575914904394,0,3.09885342423303,3.08918476414074,0,0,3.06147440607397,3.05213038701013,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.34920634920635,0,0,6.2613486945088,0,0,0,6.2293652276833,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.34960949901581,0,0,6.12932883849219,0,0,0,6.01250601250601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211300,"Vitorino Freire",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,3.21078824851501,3.15875923937077,0,0,0,0,0,0,0,6.3441712926249,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6.46746863277713,6.3609185166338,0,0,0,0,0,0,0,6.46537790133833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.22742558226429,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0
211400,"Zé Doca",1,0,0,1,0,0,0,3,1,2,0,0,2,0,0,0,1.99310386064218,0,0,0,5.94106463878327,1.97063750123165,3.92303014848669,0,0,3.86742468190432,0,7,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,4.0163868583822,0,0,0,12.0525491141376,0,7.97416370958096,0,0,3.9411973357506,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.88228899759298,0,0,0,3.79636308416537,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0
220005,"Acauã",0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.5351871990057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.6861732644865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
